小时,车流量,路口,类型
0,178.0,环东路-纬中路,工作日
1,100.0,环东路-纬中路,工作日
2,109.0,环东路-纬中路,工作日
3,56.0,环东路-纬中路,工作日
4,51.0,环东路-纬中路,工作日
5,233.0,环东路-纬中路,工作日
6,3373.0,环东路-纬中路,工作日
7,7144.0,环东路-纬中路,工作日
8,6750.0,环东路-纬中路,工作日
9,6407.0,环东路-纬中路,工作日
10,8106.0,环东路-纬中路,工作日
11,10722.0,环东路-纬中路,工作日
12,9143.0,环东路-纬中路,工作日
13,10108.0,环东路-纬中路,工作日
14,9479.0,环东路-纬中路,工作日
15,7603.0,环东路-纬中路,工作日
16,6820.0,环东路-纬中路,工作日
17,2360.0,环东路-纬中路,工作日
18,1498.0,环东路-纬中路,工作日
19,3837.0,环东路-纬中路,工作日
20,4031.0,环东路-纬中路,工作日
21,1875.0,环东路-纬中路,工作日
22,465.0,环东路-纬中路,工作日
23,563.0,环东路-纬中路,工作日
0,0.0,环东路-纬中路,节假日
1,0.0,环东路-纬中路,节假日
2,54.0,环东路-纬中路,节假日
3,16.0,环东路-纬中路,节假日
4,17.0,环东路-纬中路,节假日
5,303.0,环东路-纬中路,节假日
6,1620.0,环东路-纬中路,节假日
7,3346.0,环东路-纬中路,节假日
8,4920.0,环东路-纬中路,节假日
9,4833.0,环东路-纬中路,节假日
10,4531.0,环东路-纬中路,节假日
11,2455.0,环东路-纬中路,节假日
12,4378.0,环东路-纬中路,节假日
13,1734.0,环东路-纬中路,节假日
14,2452.0,环东路-纬中路,节假日
15,1562.0,环东路-纬中路,节假日
16,0.0,环东路-纬中路,节假日
17,0.0,环东路-纬中路,节假日
18,0.0,环东路-纬中路,节假日
19,0.0,环东路-纬中路,节假日
20,0.0,环东路-纬中路,节假日
21,347.0,环东路-纬中路,节假日
22,232.0,环东路-纬中路,节假日
23,0.0,环东路-纬中路,节假日
0,18940.0,环西路-纬中路,工作日
1,10633.0,环西路-纬中路,工作日
2,5902.0,环西路-纬中路,工作日
3,4257.0,环西路-纬中路,工作日
4,4722.0,环西路-纬中路,工作日
5,9409.0,环西路-纬中路,工作日
6,39408.0,环西路-纬中路,工作日
7,105795.0,环西路-纬中路,工作日
8,93526.0,环西路-纬中路,工作日
9,73295.0,环西路-纬中路,工作日
10,70230.0,环西路-纬中路,工作日
11,77665.0,环西路-纬中路,工作日
12,84910.0,环西路-纬中路,工作日
13,89345.0,环西路-纬中路,工作日
14,83132.0,环西路-纬中路,工作日
15,90850.0,环西路-纬中路,工作日
16,110268.0,环西路-纬中路,工作日
17,118315.0,环西路-纬中路,工作日
18,98549.0,环西路-纬中路,工作日
19,91261.0,环西路-纬中路,工作日
20,77365.0,环西路-纬中路,工作日
21,62339.0,环西路-纬中路,工作日
22,41376.0,环西路-纬中路,工作日
23,29544.0,环西路-纬中路,工作日
0,7191.0,环西路-纬中路,节假日
1,4135.0,环西路-纬中路,节假日
2,2300.0,环西路-纬中路,节假日
3,1630.0,环西路-纬中路,节假日
4,1700.0,环西路-纬中路,节假日
5,3469.0,环西路-纬中路,节假日
6,12028.0,环西路-纬中路,节假日
7,30512.0,环西路-纬中路,节假日
8,30216.0,环西路-纬中路,节假日
9,31419.0,环西路-纬中路,节假日
10,31190.0,环西路-纬中路,节假日
11,34841.0,环西路-纬中路,节假日
12,37153.0,环西路-纬中路,节假日
13,38757.0,环西路-纬中路,节假日
14,34020.0,环西路-纬中路,节假日
15,34056.0,环西路-纬中路,节假日
16,37191.0,环西路-纬中路,节假日
17,36069.0,环西路-纬中路,节假日
18,29488.0,环西路-纬中路,节假日
19,29390.0,环西路-纬中路,节假日
20,29389.0,环西路-纬中路,节假日
21,24316.0,环西路-纬中路,节假日
22,16390.0,环西路-纬中路,节假日
23,12345.0,环西路-纬中路,节假日
0,4772.0,经二路-纬中路,工作日
1,2394.0,经二路-纬中路,工作日
2,1425.0,经二路-纬中路,工作日
3,894.0,经二路-纬中路,工作日
4,1100.0,经二路-纬中路,工作日
5,2073.0,经二路-纬中路,工作日
6,9415.0,经二路-纬中路,工作日
7,18816.0,经二路-纬中路,工作日
8,17986.0,经二路-纬中路,工作日
9,16672.0,经二路-纬中路,工作日
10,16873.0,经二路-纬中路,工作日
11,19366.0,经二路-纬中路,工作日
12,18696.0,经二路-纬中路,工作日
13,18715.0,经二路-纬中路,工作日
14,18461.0,经二路-纬中路,工作日
15,19459.0,经二路-纬中路,工作日
16,23170.0,经二路-纬中路,工作日
17,25836.0,经二路-纬中路,工作日
18,21533.0,经二路-纬中路,工作日
19,20558.0,经二路-纬中路,工作日
20,19531.0,经二路-纬中路,工作日
21,14982.0,经二路-纬中路,工作日
22,10309.0,经二路-纬中路,工作日
23,7799.0,经二路-纬中路,工作日
0,1666.0,经二路-纬中路,节假日
1,947.0,经二路-纬中路,节假日
2,492.0,经二路-纬中路,节假日
3,417.0,经二路-纬中路,节假日
4,414.0,经二路-纬中路,节假日
5,654.0,经二路-纬中路,节假日
6,2139.0,经二路-纬中路,节假日
7,5679.0,经二路-纬中路,节假日
8,7300.0,经二路-纬中路,节假日
9,7063.0,经二路-纬中路,节假日
10,6563.0,经二路-纬中路,节假日
11,7679.0,经二路-纬中路,节假日
12,6853.0,经二路-纬中路,节假日
13,6345.0,经二路-纬中路,节假日
14,6317.0,经二路-纬中路,节假日
15,5261.0,经二路-纬中路,节假日
16,6328.0,经二路-纬中路,节假日
17,7097.0,经二路-纬中路,节假日
18,6712.0,经二路-纬中路,节假日
19,6243.0,经二路-纬中路,节假日
20,5694.0,经二路-纬中路,节假日
21,4281.0,经二路-纬中路,节假日
22,3381.0,经二路-纬中路,节假日
23,2794.0,经二路-纬中路,节假日
0,6704.0,经三路-纬中路,工作日
1,3558.0,经三路-纬中路,工作日
2,2123.0,经三路-纬中路,工作日
3,1398.0,经三路-纬中路,工作日
4,1501.0,经三路-纬中路,工作日
5,3741.0,经三路-纬中路,工作日
6,16890.0,经三路-纬中路,工作日
7,32973.0,经三路-纬中路,工作日
8,34655.0,经三路-纬中路,工作日
9,29870.0,经三路-纬中路,工作日
10,30493.0,经三路-纬中路,工作日
11,34316.0,经三路-纬中路,工作日
12,34715.0,经三路-纬中路,工作日
13,33367.0,经三路-纬中路,工作日
14,31529.0,经三路-纬中路,工作日
15,31820.0,经三路-纬中路,工作日
16,37042.0,经三路-纬中路,工作日
17,39317.0,经三路-纬中路,工作日
18,37284.0,经三路-纬中路,工作日
19,34110.0,经三路-纬中路,工作日
20,29477.0,经三路-纬中路,工作日
21,21880.0,经三路-纬中路,工作日
22,14636.0,经三路-纬中路,工作日
23,11457.0,经三路-纬中路,工作日
0,3010.0,经三路-纬中路,节假日
1,1506.0,经三路-纬中路,节假日
2,796.0,经三路-纬中路,节假日
3,579.0,经三路-纬中路,节假日
4,571.0,经三路-纬中路,节假日
5,1350.0,经三路-纬中路,节假日
6,4327.0,经三路-纬中路,节假日
7,8571.0,经三路-纬中路,节假日
8,10734.0,经三路-纬中路,节假日
9,11091.0,经三路-纬中路,节假日
10,11936.0,经三路-纬中路,节假日
11,11508.0,经三路-纬中路,节假日
12,13147.0,经三路-纬中路,节假日
13,11596.0,经三路-纬中路,节假日
14,12583.0,经三路-纬中路,节假日
15,11660.0,经三路-纬中路,节假日
16,12164.0,经三路-纬中路,节假日
17,11955.0,经三路-纬中路,节假日
18,12276.0,经三路-纬中路,节假日
19,11867.0,经三路-纬中路,节假日
20,10891.0,经三路-纬中路,节假日
21,8200.0,经三路-纬中路,节假日
22,5925.0,经三路-纬中路,节假日
23,4814.0,经三路-纬中路,节假日
0,2188.0,经四路-纬中路,工作日
1,1291.0,经四路-纬中路,工作日
2,653.0,经四路-纬中路,工作日
3,466.0,经四路-纬中路,工作日
4,868.0,经四路-纬中路,工作日
5,2059.0,经四路-纬中路,工作日
6,2742.0,经四路-纬中路,工作日
7,2178.0,经四路-纬中路,工作日
8,1990.0,经四路-纬中路,工作日
9,2426.0,经四路-纬中路,工作日
10,2196.0,经四路-纬中路,工作日
11,2494.0,经四路-纬中路,工作日
12,2287.0,经四路-纬中路,工作日
13,2493.0,经四路-纬中路,工作日
14,2248.0,经四路-纬中路,工作日
15,2547.0,经四路-纬中路,工作日
16,1840.0,经四路-纬中路,工作日
17,1987.0,经四路-纬中路,工作日
18,2356.0,经四路-纬中路,工作日
19,2671.0,经四路-纬中路,工作日
20,2920.0,经四路-纬中路,工作日
21,2662.0,经四路-纬中路,工作日
22,3145.0,经四路-纬中路,工作日
23,2704.0,经四路-纬中路,工作日
0,954.0,经四路-纬中路,节假日
1,580.0,经四路-纬中路,节假日
2,243.0,经四路-纬中路,节假日
3,177.0,经四路-纬中路,节假日
4,338.0,经四路-纬中路,节假日
5,790.0,经四路-纬中路,节假日
6,955.0,经四路-纬中路,节假日
7,911.0,经四路-纬中路,节假日
8,744.0,经四路-纬中路,节假日
9,967.0,经四路-纬中路,节假日
10,887.0,经四路-纬中路,节假日
11,890.0,经四路-纬中路,节假日
12,816.0,经四路-纬中路,节假日
13,884.0,经四路-纬中路,节假日
14,851.0,经四路-纬中路,节假日
15,898.0,经四路-纬中路,节假日
16,656.0,经四路-纬中路,节假日
17,827.0,经四路-纬中路,节假日
18,876.0,经四路-纬中路,节假日
19,924.0,经四路-纬中路,节假日
20,1020.0,经四路-纬中路,节假日
21,1034.0,经四路-纬中路,节假日
22,1135.0,经四路-纬中路,节假日
23,1056.0,经四路-纬中路,节假日
0,4625.0,经中路-环北路,工作日
1,2680.0,经中路-环北路,工作日
2,1836.0,经中路-环北路,工作日
3,1592.0,经中路-环北路,工作日
4,1877.0,经中路-环北路,工作日
5,5374.0,经中路-环北路,工作日
6,17844.0,经中路-环北路,工作日
7,39233.0,经中路-环北路,工作日
8,36416.0,经中路-环北路,工作日
9,32048.0,经中路-环北路,工作日
10,32676.0,经中路-环北路,工作日
11,31225.0,经中路-环北路,工作日
12,32585.0,经中路-环北路,工作日
13,34547.0,经中路-环北路,工作日
14,33597.0,经中路-环北路,工作日
15,35251.0,经中路-环北路,工作日
16,40544.0,经中路-环北路,工作日
17,47057.0,经中路-环北路,工作日
18,34410.0,经中路-环北路,工作日
19,30014.0,经中路-环北路,工作日
20,26580.0,经中路-环北路,工作日
21,20322.0,经中路-环北路,工作日
22,12808.0,经中路-环北路,工作日
23,8298.0,经中路-环北路,工作日
0,2072.0,经中路-环北路,节假日
1,1123.0,经中路-环北路,节假日
2,854.0,经中路-环北路,节假日
3,637.0,经中路-环北路,节假日
4,685.0,经中路-环北路,节假日
5,2086.0,经中路-环北路,节假日
6,6108.0,经中路-环北路,节假日
7,12078.0,经中路-环北路,节假日
8,12443.0,经中路-环北路,节假日
9,11487.0,经中路-环北路,节假日
10,12208.0,经中路-环北路,节假日
11,13477.0,经中路-环北路,节假日
12,12508.0,经中路-环北路,节假日
13,12000.0,经中路-环北路,节假日
14,11993.0,经中路-环北路,节假日
15,10493.0,经中路-环北路,节假日
16,13530.0,经中路-环北路,节假日
17,12794.0,经中路-环北路,节假日
18,11576.0,经中路-环北路,节假日
19,10992.0,经中路-环北路,节假日
20,9313.0,经中路-环北路,节假日
21,6699.0,经中路-环北路,节假日
22,4400.0,经中路-环北路,节假日
23,2675.0,经中路-环北路,节假日
0,8262.0,经中路-环南路,工作日
1,4484.0,经中路-环南路,工作日
2,2964.0,经中路-环南路,工作日
3,2479.0,经中路-环南路,工作日
4,3122.0,经中路-环南路,工作日
5,8015.0,经中路-环南路,工作日
6,28836.0,经中路-环南路,工作日
7,49075.0,经中路-环南路,工作日
8,46946.0,经中路-环南路,工作日
9,49833.0,经中路-环南路,工作日
10,47252.0,经中路-环南路,工作日
11,50372.0,经中路-环南路,工作日
12,48514.0,经中路-环南路,工作日
13,50851.0,经中路-环南路,工作日
14,49038.0,经中路-环南路,工作日
15,55021.0,经中路-环南路,工作日
16,57347.0,经中路-环南路,工作日
17,49636.0,经中路-环南路,工作日
18,53123.0,经中路-环南路,工作日
19,47011.0,经中路-环南路,工作日
20,41277.0,经中路-环南路,工作日
21,29568.0,经中路-环南路,工作日
22,19283.0,经中路-环南路,工作日
23,15413.0,经中路-环南路,工作日
0,3521.0,经中路-环南路,节假日
1,1927.0,经中路-环南路,节假日
2,1133.0,经中路-环南路,节假日
3,1002.0,经中路-环南路,节假日
4,1190.0,经中路-环南路,节假日
5,3020.0,经中路-环南路,节假日
6,8864.0,经中路-环南路,节假日
7,16600.0,经中路-环南路,节假日
8,19426.0,经中路-环南路,节假日
9,20506.0,经中路-环南路,节假日
10,19842.0,经中路-环南路,节假日
11,21495.0,经中路-环南路,节假日
12,21745.0,经中路-环南路,节假日
13,21523.0,经中路-环南路,节假日
14,20332.0,经中路-环南路,节假日
15,20124.0,经中路-环南路,节假日
16,22300.0,经中路-环南路,节假日
17,21579.0,经中路-环南路,节假日
18,19000.0,经中路-环南路,节假日
19,17906.0,经中路-环南路,节假日
20,15115.0,经中路-环南路,节假日
21,10575.0,经中路-环南路,节假日
22,7165.0,经中路-环南路,节假日
23,5920.0,经中路-环南路,节假日
0,5609.0,经中路-纬一路,工作日
1,3310.0,经中路-纬一路,工作日
2,2380.0,经中路-纬一路,工作日
3,2189.0,经中路-纬一路,工作日
4,2936.0,经中路-纬一路,工作日
5,5503.0,经中路-纬一路,工作日
6,16953.0,经中路-纬一路,工作日
7,27836.0,经中路-纬一路,工作日
8,26778.0,经中路-纬一路,工作日
9,29496.0,经中路-纬一路,工作日
10,29956.0,经中路-纬一路,工作日
11,31612.0,经中路-纬一路,工作日
12,31422.0,经中路-纬一路,工作日
13,32030.0,经中路-纬一路,工作日
14,31770.0,经中路-纬一路,工作日
15,33076.0,经中路-纬一路,工作日
16,35692.0,经中路-纬一路,工作日
17,32697.0,经中路-纬一路,工作日
18,32576.0,经中路-纬一路,工作日
19,28899.0,经中路-纬一路,工作日
20,25792.0,经中路-纬一路,工作日
21,19420.0,经中路-纬一路,工作日
22,12533.0,经中路-纬一路,工作日
23,9101.0,经中路-纬一路,工作日
0,2502.0,经中路-纬一路,节假日
1,1402.0,经中路-纬一路,节假日
2,1015.0,经中路-纬一路,节假日
3,940.0,经中路-纬一路,节假日
4,1125.0,经中路-纬一路,节假日
5,2142.0,经中路-纬一路,节假日
6,5570.0,经中路-纬一路,节假日
7,10149.0,经中路-纬一路,节假日
8,11939.0,经中路-纬一路,节假日
9,12831.0,经中路-纬一路,节假日
10,12551.0,经中路-纬一路,节假日
11,13985.0,经中路-纬一路,节假日
12,14277.0,经中路-纬一路,节假日
13,13943.0,经中路-纬一路,节假日
14,13935.0,经中路-纬一路,节假日
15,13661.0,经中路-纬一路,节假日
16,15522.0,经中路-纬一路,节假日
17,15161.0,经中路-纬一路,节假日
18,12687.0,经中路-纬一路,节假日
19,11863.0,经中路-纬一路,节假日
20,10504.0,经中路-纬一路,节假日
21,7515.0,经中路-纬一路,节假日
22,5347.0,经中路-纬一路,节假日
23,3827.0,经中路-纬一路,节假日
0,3814.0,纬中路-景区出入口,工作日
1,2205.0,纬中路-景区出入口,工作日
2,1253.0,纬中路-景区出入口,工作日
3,913.0,纬中路-景区出入口,工作日
4,1025.0,纬中路-景区出入口,工作日
5,2476.0,纬中路-景区出入口,工作日
6,12610.0,纬中路-景区出入口,工作日
7,19935.0,纬中路-景区出入口,工作日
8,19885.0,纬中路-景区出入口,工作日
9,19827.0,纬中路-景区出入口,工作日
10,22703.0,纬中路-景区出入口,工作日
11,23957.0,纬中路-景区出入口,工作日
12,23880.0,纬中路-景区出入口,工作日
13,23464.0,纬中路-景区出入口,工作日
14,22460.0,纬中路-景区出入口,工作日
15,24083.0,纬中路-景区出入口,工作日
16,26203.0,纬中路-景区出入口,工作日
17,25655.0,纬中路-景区出入口,工作日
18,23288.0,纬中路-景区出入口,工作日
19,23109.0,纬中路-景区出入口,工作日
20,21022.0,纬中路-景区出入口,工作日
21,15077.0,纬中路-景区出入口,工作日
22,10503.0,纬中路-景区出入口,工作日
23,7235.0,纬中路-景区出入口,工作日
0,1911.0,纬中路-景区出入口,节假日
1,1119.0,纬中路-景区出入口,节假日
2,636.0,纬中路-景区出入口,节假日
3,403.0,纬中路-景区出入口,节假日
4,419.0,纬中路-景区出入口,节假日
5,948.0,纬中路-景区出入口,节假日
6,3025.0,纬中路-景区出入口,节假日
7,6865.0,纬中路-景区出入口,节假日
8,7473.0,纬中路-景区出入口,节假日
9,8556.0,纬中路-景区出入口,节假日
10,8127.0,纬中路-景区出入口,节假日
11,9215.0,纬中路-景区出入口,节假日
12,10359.0,纬中路-景区出入口,节假日
13,9656.0,纬中路-景区出入口,节假日
14,10765.0,纬中路-景区出入口,节假日
15,10228.0,纬中路-景区出入口,节假日
16,9490.0,纬中路-景区出入口,节假日
17,8904.0,纬中路-景区出入口,节假日
18,9723.0,纬中路-景区出入口,节假日
19,9765.0,纬中路-景区出入口,节假日
20,8990.0,纬中路-景区出入口,节假日
21,6643.0,纬中路-景区出入口,节假日
22,5002.0,纬中路-景区出入口,节假日
23,3154.0,纬中路-景区出入口,节假日
0,8267.0,经一路-纬中路,工作日
1,4649.0,经一路-纬中路,工作日
2,2803.0,经一路-纬中路,工作日
3,1760.0,经一路-纬中路,工作日
4,1820.0,经一路-纬中路,工作日
5,2919.0,经一路-纬中路,工作日
6,12845.0,经一路-纬中路,工作日
7,30743.0,经一路-纬中路,工作日
8,30941.0,经一路-纬中路,工作日
9,24506.0,经一路-纬中路,工作日
10,24834.0,经一路-纬中路,工作日
11,29988.0,经一路-纬中路,工作日
12,28367.0,经一路-纬中路,工作日
13,29212.0,经一路-纬中路,工作日
14,29741.0,经一路-纬中路,工作日
15,33569.0,经一路-纬中路,工作日
16,39128.0,经一路-纬中路,工作日
17,45808.0,经一路-纬中路,工作日
18,41115.0,经一路-纬中路,工作日
19,37543.0,经一路-纬中路,工作日
20,33741.0,经一路-纬中路,工作日
21,26188.0,经一路-纬中路,工作日
22,18174.0,经一路-纬中路,工作日
23,14644.0,经一路-纬中路,工作日
0,3533.0,经一路-纬中路,节假日
1,2069.0,经一路-纬中路,节假日
2,1278.0,经一路-纬中路,节假日
3,771.0,经一路-纬中路,节假日
4,759.0,经一路-纬中路,节假日
5,1399.0,经一路-纬中路,节假日
6,4075.0,经一路-纬中路,节假日
7,8886.0,经一路-纬中路,节假日
8,10641.0,经一路-纬中路,节假日
9,13982.0,经一路-纬中路,节假日
10,12806.0,经一路-纬中路,节假日
11,12738.0,经一路-纬中路,节假日
12,11237.0,经一路-纬中路,节假日
13,12269.0,经一路-纬中路,节假日
14,11672.0,经一路-纬中路,节假日
15,12926.0,经一路-纬中路,节假日
16,12086.0,经一路-纬中路,节假日
17,11906.0,经一路-纬中路,节假日
18,12807.0,经一路-纬中路,节假日
19,12792.0,经一路-纬中路,节假日
20,12177.0,经一路-纬中路,节假日
21,7030.0,经一路-纬中路,节假日
22,4600.0,经一路-纬中路,节假日
23,4556.0,经一路-纬中路,节假日
0,1049.0,经五路-纬中路,工作日
1,535.0,经五路-纬中路,工作日
2,281.0,经五路-纬中路,工作日
3,275.0,经五路-纬中路,工作日
4,421.0,经五路-纬中路,工作日
5,879.0,经五路-纬中路,工作日
6,3880.0,经五路-纬中路,工作日
7,7227.0,经五路-纬中路,工作日
8,7236.0,经五路-纬中路,工作日
9,7484.0,经五路-纬中路,工作日
10,8375.0,经五路-纬中路,工作日
11,7984.0,经五路-纬中路,工作日
12,9669.0,经五路-纬中路,工作日
13,9372.0,经五路-纬中路,工作日
14,9487.0,经五路-纬中路,工作日
15,9448.0,经五路-纬中路,工作日
16,10182.0,经五路-纬中路,工作日
17,11412.0,经五路-纬中路,工作日
18,8339.0,经五路-纬中路,工作日
19,7979.0,经五路-纬中路,工作日
20,6654.0,经五路-纬中路,工作日
21,4880.0,经五路-纬中路,工作日
22,3155.0,经五路-纬中路,工作日
23,1934.0,经五路-纬中路,工作日
0,388.0,经五路-纬中路,节假日
1,212.0,经五路-纬中路,节假日
2,127.0,经五路-纬中路,节假日
3,91.0,经五路-纬中路,节假日
4,148.0,经五路-纬中路,节假日
5,349.0,经五路-纬中路,节假日
6,1289.0,经五路-纬中路,节假日
7,2568.0,经五路-纬中路,节假日
8,2516.0,经五路-纬中路,节假日
9,2890.0,经五路-纬中路,节假日
10,3763.0,经五路-纬中路,节假日
11,4687.0,经五路-纬中路,节假日
12,4775.0,经五路-纬中路,节假日
13,4037.0,经五路-纬中路,节假日
14,3188.0,经五路-纬中路,节假日
15,3296.0,经五路-纬中路,节假日
16,4420.0,经五路-纬中路,节假日
17,4172.0,经五路-纬中路,节假日
18,3688.0,经五路-纬中路,节假日
19,3279.0,经五路-纬中路,节假日
20,2581.0,经五路-纬中路,节假日
21,1831.0,经五路-纬中路,节假日
22,1506.0,经五路-纬中路,节假日
23,701.0,经五路-纬中路,节假日
